Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,70000003;5,01632700;4,13342700;6,99575800;-0,07843257
0,70200003;5,01632700;4,13342700;7,00125100;-0,07843257
0,70400003;5,00045800;4,12823900;7,00125100;-0,03051851
0,70600003;4,99496500;4,12823900;6,99575800;0,02197333
0,70800003;4,99496500;4,13861500;7,00125100;0,05371258
0,71000003;5,00045800;4,13342700;6,99575800;0,09094515
0,71200003;5,00564600;4,12823900;6,98507600;0,08545183
0,71400003;5,00564600;4,14410800;6,99575800;0,04852443
0,71600003;5,01632700;4,13342700;7,00125100;-0,01464888
0,71800003;5,00045800;4,13342700;6,99575800;-0,04119999
0,72000003;5,00045800;4,13342700;6,99575800;-0,08362071
0,72200003;5,00045800;4,12823900;7,00643900;-0,08362071
0,72400003;5,00045800;4,13342700;7,00125100;-0,04119999
0,72600003;4,99496500;4,13861500;6,99575800;0,01129185
0,72800003;5,00045800;4,14410800;6,99575800;0,04333628
0,73000003;4,99496500;4,13342700;7,00125100;0,09094515
0,73200003;4,99496500;4,13861500;6,99575800;0,07507554
0,73400003;5,01113900;4,12274600;6,99575800;0,03265481
0,73600003;5,00045800;4,13342700;7,00125100;-0,00946074
0,73800004;5,01113900;4,13342700;6,99575800;-0,04638813
0,74000004;4,99496500;4,13342700;7,00643900;-0,07843257
0,74200004;5,00045800;4,13861500;7,01193300;-0,08362071
0,74400004;4,99496500;4,13861500;6,99575800;-0,03051851
0,74600004;5,00045800;4,12823900;7,01193300;0,01678518
0,74800004;5,00045800;4,12823900;7,00125100;0,03784295
0,75000004;4,99496500;4,13861500;7,00125100;0,08026368
0,75200004;5,00564600;4,14410800;6,99057000;0,08545183
0,75400004;5,00564600;4,13342700;6,99575800;0,03784295
0,75600004;4,99496500;4,13861500;7,00643900;-0,01464888
0,75800004;5,00564600;4,13861500;7,00643900;-0,04119999
0,76000004;5,00564600;4,13861500;7,00125100;-0,07843257
0,76200004;5,00564600;4,13342700;6,99057000;-0,08362071
0,76400004;5,00045800;4,12823900;6,99575800;-0,04119999
0,76600004;5,00045800;4,13861500;7,00125100;0,01678518
0,76800004;4,99496500;4,13342700;7,00125100;0,04852443
0,77000004;5,00045800;4,13342700;6,99575800;0,07507554
0,77200004;5,00045800;4,12823900;6,99057000;0,07507554
0,77400004;5,01632700;4,13342700;7,00125100;0,03784295
0,77600004;5,00045800;4,13342700;7,00125100;-0,00946074
0,77800004;5,00564600;4,13861500;6,99575800;-0,04119999
0,78000004;5,00564600;4,13342700;7,00125100;-0,08362071
0,78200004;5,01113900;4,12823900;7,00125100;-0,08362071
0,78400004;5,00045800;4,13861500;7,00125100;-0,04119999
0,78600004;5,00045800;4,13861500;6,98507600;0,02197333
0,78800004;4,99496500;4,14410800;6,99057000;0,04333628
0,79000004;5,00564600;4,13861500;6,99057000;0,08026368
0,79200004;5,00564600;4,13861500;7,00643900;0,08026368
0,79400004;5,00045800;4,13342700;7,00125100;0,04333628
0,79600004;5,00045800;4,13342700;7,00125100;-0,00427259
0,79800004;5,01113900;4,13342700;7,00125100;-0,04119999
0,80000004;4,99496500;4,13342700;7,00125100;-0,08880886
0,80200004;5,00564600;4,13342700;7,00125100;-0,07293924
0,80400004;5,00564600;4,13342700;7,00125100;-0,03051851
0,80600004;5,00045800;4,13861500;6,98507600;0,01129185
0,80800004;5,01113900;4,13861500;7,00125100;0,03784295
