Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,48800002;5,99078300;5,24765800;5,50004600;-0,00427259
0,49000002;6,00146500;5,24765800;5,50004600;-0,00946074
0,49200002;5,99597200;5,25315100;5,50523400;0,00091556
0,49400002;6,00665300;5,25833900;5,51072700;0,00091556
0,49600002;5,99597200;5,25315100;5,49455300;0,00610370
0,49800002;6,00146500;5,25315100;5,50004600;-0,00427259
0,50000002;6,01214600;5,23697600;5,50004600;0,00091556
0,50200002;5,99597200;5,24765800;5,50004600;0,00610370
0,50400002;6,00665300;5,24765800;5,50004600;0,00091556
0,50600002;6,00146500;5,25833900;5,50004600;0,00091556
0,50800002;5,99078300;5,25315100;5,49455300;-0,00427259
0,51000002;6,00146500;5,24247000;5,49455300;0,00610370
0,51200002;6,00665300;5,24765800;5,50004600;0,00610370
0,51400002;6,01214600;5,26383300;5,50004600;0,00091556
0,51600002;5,99078300;5,25315100;5,49455300;0,01129185
0,51800002;5,99597200;5,25315100;5,50004600;0,00091556
0,52000002;5,99597200;5,25315100;5,50523400;0,00610370
0,52200002;6,00665300;5,25315100;5,50004600;0,00091556
0,52400002;6,00146500;5,25315100;5,50523400;-0,00427259
0,52600002;6,00146500;5,24765800;5,50004600;0,00091556
0,52800003;5,99597200;5,24765800;5,48387100;0,00610370
0,53000003;6,00665300;5,24765800;5,49455300;-0,00427259
0,53200003;5,99597200;5,25315100;5,50004600;-0,00427259
0,53400003;6,00146500;5,24765800;5,51072700;0,00091556
0,53600003;6,00146500;5,24765800;5,49455300;0,01129185
0,53800003;6,00146500;5,25315100;5,49455300;0,00091556
0,54000003;5,99597200;5,25315100;5,49455300;0,00610370
0,54200003;6,00665300;5,25315100;5,49455300;0,01129185
0,54400003;6,00146500;5,25315100;5,51072700;-0,00427259
0,54600003;5,98529000;5,25315100;5,51072700;0,00091556
0,54800003;6,00146500;5,24765800;5,50004600;0,00610370
0,55000003;6,00665300;5,24247000;5,49455300;-0,00946074
0,55200003;6,01214600;5,24765800;5,49455300;0,00610370
0,55400003;6,00146500;5,24247000;5,50004600;0,00091556
0,55600003;6,00146500;5,24765800;5,49455300;-0,00427259
0,55800003;5,99078300;5,25833900;5,48936400;0,00610370
0,56000003;5,99597200;5,24765800;5,50523400;0,01129185
0,56200003;5,99078300;5,24765800;5,49455300;-0,00427259
0,56400003;6,00146500;5,25315100;5,49455300;-0,00427259
0,56600003;5,99597200;5,24765800;5,50523400;0,00091556
0,56800003;5,99597200;5,25833900;5,48936400;-0,00427259
0,57000003;6,00665300;5,25315100;5,49455300;-0,00427259
0,57200003;6,00665300;5,24765800;5,50004600;-0,00427259
0,57400003;6,00146500;5,25833900;5,48936400;0,00091556
0,57600003;6,00146500;5,25833900;5,50004600;0,01129185
0,57800003;5,99078300;5,24247000;5,50523400;0,00091556
0,58000003;6,00665300;5,25833900;5,49455300;0,00091556
0,58200003;6,01214600;5,24247000;5,50523400;-0,01464888
0,58400003;6,00146500;5,24247000;5,49455300;0,00610370
0,58600003;6,00146500;5,25315100;5,50004600;0,00610370
0,58800003;5,99597200;5,25315100;5,50004600;0,00610370
0,59000003;6,00146500;5,24765800;5,50004600;0,00091556
0,59200003;6,00665300;5,24765800;5,49455300;0,00610370
0,59400003;6,01214600;5,25315100;5,50004600;0,00091556
0,59600003;6,00146500;5,25315100;5,49455300;0,00610370
0,59800003;6,00146500;5,26383300;5,49455300;0,00091556
0,60000003;5,99078300;5,24765800;5,49455300;-0,00946074
0,60200003;6,00665300;5,24247000;5,50004600;-0,00946074
0,60400003;6,00146500;5,24765800;5,50523400;-0,00427259
0,60600003;6,01214600;5,25315100;5,48936400;0,00091556
0,60800003;6,01214600;5,24247000;5,49455300;0,00091556
0,61000003;6,00146500;5,24765800;5,50004600;0,00610370
0,61200003;6,00146500;5,24247000;5,49455300;0,00091556
0,61400003;5,99597200;5,24247000;5,49455300;0,00091556
0,61600003;5,99597200;5,25833900;5,49455300;0,00091556
0,61800003;5,99597200;5,24247000;5,49455300;0,00610370
0,62000003;6,00146500;5,24765800;5,51072700;-0,00427259
0,62200003;6,00146500;5,25315100;5,50004600;0,00091556
0,62400003;6,00146500;5,24765800;5,48936400;0,00091556
0,62600003;6,00146500;5,26383300;5,48936400;-0,01464888
0,62800003;5,99597200;5,24765800;5,48936400;-0,00427259
0,63000003;5,99597200;5,25315100;5,50004600;0,00091556
0,63200003;6,00146500;5,25833900;5,50004600;-0,00427259
0,63400003;6,01214600;5,25315100;5,50523400;-0,00427259
0,63600003;6,00146500;5,25315100;5,48936400;0,01129185
0,63800003;5,99078300;5,25833900;5,48936400;0,00091556
0,64000003;6,00146500;5,25833900;5,50004600;-0,00427259
0,64200003;5,99078300;5,25315100;5,48387100;-0,00427259
0,64400003;6,00146500;5,25833900;5,49455300;0,00091556
0,64600003;5,99597200;5,25315100;5,49455300;0,01129185
0,64800003;6,00665300;5,25315100;5,50523400;0,00091556
0,65000003;6,00665300;5,25315100;5,49455300;0,00610370
0,65200003;6,00146500;5,25315100;5,50523400;0,00610370
0,65400003;5,99597200;5,25315100;5,49455300;-0,00427259
0,65600003;6,00146500;5,24765800;5,51072700;0,00091556
0,65800003;6,00665300;5,24765800;5,48936400;0,00091556
0,66000003;5,98529000;5,24765800;5,50004600;0,00610370
0,66200003;6,00146500;5,24765800;5,50523400;-0,00427259
0,66400003;5,99597200;5,24765800;5,48936400;0,00610370
0,66600003;6,00146500;5,24765800;5,50004600;-0,00427259
0,66800003;6,00665300;5,24247000;5,50523400;-0,00427259
0,67000003;5,99597200;5,24247000;5,50004600;-0,00427259
0,67200003;6,00146500;5,25315100;5,49455300;0,00091556
0,67400003;6,00665300;5,24765800;5,49455300;0,00610370
0,67600003;5,99597200;5,24247000;5,50004600;0,00610370
0,67800003;6,00665300;5,25315100;5,50004600;0,00610370
0,68000003;6,00146500;5,25833900;5,50523400;0,00610370
0,68200003;5,99078300;5,24765800;5,50523400;0,00610370
0,68400003;6,00146500;5,24765800;5,49455300;0,00091556
0,68600003;6,01214600;5,25315100;5,50004600;0,00610370
0,68800003;6,00146500;5,24247000;5,49455300;-0,00946074
0,69000003;5,99597200;5,24765800;5,50523400;-0,00427259
0,69200003;5,99078300;5,25833900;5,51072700;0,00091556
